column_name,file_count,department
@OBS_VALUE,3148,statcan
@TIME_PERIOD,3148,statcan
@NB_DECIMAL,3116,statcan
@SCALAR_FACTOR,3116,statcan
@UOM,3116,statcan
@VECTOR_ID,3116,statcan
Obs,3116,statcan
@Geography,3092,statcan
@DGUID,3035,statcan
@id,2088,statcan
@urn,1624,statcan
@STATUS_CAN,1367,statcan
Ref,1141,statcan
Name,928,statcan
ConceptIdentity,696,statcan
@SECURITY_LEVEL,690,statcan
@Gender,678,statcan
@Age_group,488,statcan
@agencyID,464,statcan
@lang,464,statcan
@version,464,statcan
LocalRepresentation,464,statcan
@TERMINATED,462,statcan
@North_American_Industry_Classification_System__NAICS_,450,statcan
@Statistics,414,statcan
@Labour_force_characteristics,317,statcan
Annotations,288,statcan
Code,234,statcan
@assignmentStatus,232,statcan
@class,232,statcan
@package,232,statcan
@position,232,statcan
AnnotationText,232,statcan
AnnotationTitle,232,statcan
AnnotationType,232,statcan
AttributeRelationship,232,statcan
Dimension,232,statcan
Enumeration,232,statcan
PrimaryMeasure,232,statcan
TextFormat,232,statcan
@Airports,230,statcan
@maintainableParentID,220,statcan
@maintainableParentVersion,220,statcan
@Characteristics,219,statcan
Parent,211,statcan
COORDINATE,202,statcan
DECIMALS,202,statcan
DGUID,202,statcan
GEO,202,statcan
REF_DATE,202,statcan
SCALAR_FACTOR,202,statcan
SCALAR_ID,202,statcan
STATUS,202,statcan
SYMBOL,202,statcan
TERMINATED,202,statcan
UOM,202,statcan
UOM_ID,202,statcan
VALUE,202,statcan
VECTOR,202,statcan
@Type_of_currency,176,statcan
Annotation,160,statcan
@Rates,149,statcan
@Seasonal_adjustment,148,statcan
@Government_of_Canada_direct_securities_and_loans,147,statcan
@Estimate,125,statcan
@Variable,116,statcan
@National_Occupational_Classification__NOC_,113,statcan
@Data_type,109,statcan
@Financial_market_statistics,101,statcan
@Sector,101,statcan
@Trade,94,statcan
@Commodity,86,statcan
@Type_of_grain,83,statcan
@Industry,82,statcan
@Tobacco_products,82,statcan
@Class_of_worker,81,statcan
@Service_detail,81,statcan
@Production__sales_and_inventories_activities,80,statcan
@North_American_Product_Classification_System__NAPCS_,69,statcan
@Cost_of_living_adjustment__COLA_,68,statcan
@Income__consumption_and_savings,67,statcan
@Class_of_operation,64,statcan
@Domestic_and_international_itinerant_movements,64,statcan
@Type_of_work,64,statcan
@Prices,60,statcan
@Type_of_reserve,58,statcan
@Actual_hours_worked,48,statcan
@Job,48,statcan
@Type_of_operation,48,statcan
@Usual_hours_worked,48,statcan
@Estimates,47,statcan
@Type_of_employee,43,statcan
@Wealth,40,statcan
@Net_worth_indicators__wealth_,38,statcan
@Socio-demographic_characteristics,36,statcan
@Educational_attainment,33,statcan
@Immigrant_status,33,statcan
@Price_index,33,statcan
@Employment_characteristics,32,statcan
@Job_permanency,32,statcan
@Job_tenure,32,statcan
@Population_centre_and_rural_areas,32,statcan
@Products,32,statcan
@Reason,32,statcan
@Students,32,statcan
@Sub-sector,32,statcan
@Union_coverage,32,statcan
@Weekly_wages,32,statcan
@North_American_Product_Classification_System__NAPCS__Canada_2022_Version,31,statcan
@Seasonal_adjustment_,29,statcan
@Service_categories,29,statcan
@Trade_partners,29,statcan
Statistics,28,statcan
@Activity,27,statcan
@Indicators,26,statcan
@Sex,25,statcan
North American Industry Classification System (NAICS),25,statcan
@Civil_and_military_movements,24,statcan
@Geography__place_of_occurrence,24,statcan
@Maximum_take-off_weight,24,statcan
@Type_of_power_plant,24,statcan
@Units_of_measure,24,statcan
Gender,22,statcan
@Income_quintile,21,statcan
@Basis,20,statcan
@Assets_and_liabilities,19,statcan
@Supply_and_disposition,19,statcan
@Vehicle_licence_plate,19,statcan
@Industries,18,statcan
Age group,18,statcan
@Duration_of_unemployment,17,statcan
@Unit_of_measure,17,statcan
