signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
a985e9c1c6bd,xml-element,1380,2,@TIME_PERIOD | @OBS_VALUE,"Household actual final consumption, Canada, provincial and territorial, annual",Dataset#36100609_1.xml#Obs,statcan
a0a93dacc55a,xml-element,1072,3,@TIME_PERIOD | @OBS_VALUE | @STATUS_CAN,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_1.xml#Obs,statcan
8fd5f1a0a83c,xml-element,677,1,Ref,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#ConceptIdentity,statcan
3dfa2abecab7,xml-element,472,3,@id | @urn | Name,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Concept,statcan
e41db40ce77b,xml-element,464,1,@lang,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Name,statcan
a0eaaf56a0ce,xml-element,398,3,@TIME_PERIOD | @OBS_VALUE | @SECURITY_LEVEL,"Farm input price index, quarterly",Dataset#18100258_7.xml#Obs,statcan
7ee460ba0820,xml-element,282,4,@TIME_PERIOD | @OBS_VALUE | @STATUS_CAN | @SECURITY_LEVEL,"Tobacco, sales and inventories, monthly production",Dataset#16100044_18.xml#Obs,statcan
5806d88de841,xml-element,232,4,AnnotationTitle | AnnotationType | @id | AnnotationText,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Annotation,statcan
f1d5fa6f7199,xml-element,232,2,Enumeration | TextFormat,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#LocalRepresentation,statcan
3f23e26421aa,xml-element,232,2,Dimension | PrimaryMeasure,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#AttributeRelationship,statcan
295ae9ead81e,xml-element,232,6,@id | @urn | @assignmentStatus | ConceptIdentity | LocalRepresentation | AttributeRelationship,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Attribute,statcan
d9f507ef2a2a,xml-element,232,6,@id | @urn | @position | ConceptIdentity | LocalRepresentation | Ref,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Dimension,statcan
e2bf24a442d7,xml-element,232,4,Ref | @id | @urn | ConceptIdentity,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#PrimaryMeasure,statcan
189453fe316e,xml-element,220,7,@id | @version | @agencyID | @package | @class | @maintainableParentID | @maintainableParentVersion,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Ref,statcan
4b3e847007b0,xml-element,160,1,Annotation,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Annotations,statcan
4940967c6a1f,xml-element,159,5,@id | @urn | Name | Annotations | Parent,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Code,statcan
ab04678160fe,xml-element,147,9,@Geography | @Government_of_Canada_direct_securities_and_loans | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs | @TERMINATED,"Government of Canada direct and guaranteed securities and loans, Bank of Canada",Dataset#10100113_57.xml#Series,statcan
1b642f6becf3,xml-element,116,6,@id | @urn | @agencyID | @version | Name | Code,"Adjusted household disposable income, Canada, provinces and territories, annual",Dataset#36100612_Structure.xml#Codelist,statcan
91bdab3d66b2,xml-element,116,7,@id | @urn | @agencyID | @version | Annotations | Name | Code,"Small area estimates of labour force characteristics for sub-provincial areas, monthly, unadjusted for seasonality",Dataset#14100480_Structure.xml#Codelist,statcan
b935f0be8812,xml-element,103,9,@Geography | @Type_of_currency | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs | @TERMINATED,"Daily average foreign exchange rates in Canadian dollars, Bank of Canada",Dataset#33100036_44.xml#Series,statcan
1f7ff8c8d28b,xml-element,101,9,@Geography | @Financial_market_statistics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs | @TERMINATED,"Bank of Canada, money market and other interest rates",Dataset#10100139_17.xml#Series,statcan
bee7ec493c0a,xml-element,101,8,@Geography | @Rates | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Financial market statistics, as at Tuesday, Bank of Canada",Dataset#10100144_46.xml#Series,statcan
d11461b0f52a,xml-element,83,8,@Geography | @Type_of_grain | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Producer deliveries of major grains,Dataset#32100351_1.xml#Series,statcan
3e1f2b12bb61,xml-element,80,9,@Geography | @Production__sales_and_inventories_activities | @Tobacco_products | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Tobacco, sales and inventories, monthly production",Dataset#16100044_18.xml#Series,statcan
e9bf1f012d1e,xml-element,78,8,@Geography | @Commodity | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Fisher commodity price index, United States dollar terms, Bank of Canada, Fisher commodity price index, United States dollar terms, Bank of Canada, weekly",Dataset#10100143_10.xml#Series,statcan
8d852b447d5b,xml-element,78,10,@Geography | @North_American_Industry_Classification_System__NAICS_ | @Service_detail | @Seasonal_adjustment | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Monthly survey of food services and drinking places,Dataset#21100019_10.xml#Series,statcan
effc01effc16,xml-element,73,8,@Geography | @Type_of_currency | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Monthly average foreign exchange rates in Canadian dollars, Bank of Canada",Dataset#33100163_2.xml#Series,statcan
bb58ac665a58,xml-element,68,11,@Geography | @Industry | @Sector | @Cost_of_living_adjustment__COLA_ | @Variable | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Major wage settlements, by jurisdiction, industry based on the North American Industry Classification System (NAICS) and cost of living adjustment (COLA), Employment and Social Development Canada - Labour Program, occasional",Dataset#14100349_18.xml#Series,statcan
8531bcd8167c,xml-element,67,10,@Geography | @Statistics | @Characteristics | @Income__consumption_and_savings | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Distributions of household economic accounts, income, consumption and saving, Canada, provinces and territories, annual",Dataset#36100588_1.xml#Series,statcan
5a96833ac7fa,xml-element,64,9,@Geography | @Airports | @Class_of_operation | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Aircraft movements, by geography, airports with NAV CANADA services and other selected airports, monthly",Dataset#23100303_1.xml#Series,statcan
092b528dc50a,xml-element,58,8,@Geography | @Type_of_reserve | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Canada's official international reserves, millions of United States dollars, Bank of Canada, daily",Dataset#10100141_1.xml#Series,statcan
f589af2f6636,xml-element,52,4,@id | @urn | Name | Parent,"Canada's official international reserves, millions of United States dollars, Bank of Canada, daily",Dataset#10100141_Structure.xml#Code,statcan
7a3e474789ea,xml-element,40,10,@Geography | @Statistics | @Characteristics | @Wealth | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Distributions of household economic accounts, wealth, by characteristic, Canada, quarterly",Dataset#36100660_8.xml#Series,statcan
21606e10c8a5,xml-element,40,9,@Geography | @Airports | @Domestic_and_international_itinerant_movements | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Domestic and international itinerant movements, by geography, airports with NAV CANADA services and other selected airports, monthly",Dataset#23100304_23.xml#Series,statcan
