column_name,file_count,department
Organization,138,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Other (please explain):",74,tbs-sct
BYCOND,60,tbs-sct
DEMCODE,60,tbs-sct
LEVEL1ID,59,tbs-sct
LEVEL2ID,59,tbs-sct
ANSCOUNT,58,tbs-sct
Description,57,tbs-sct
SCORE100,57,tbs-sct
SCORE5,57,tbs-sct
AGREE,56,tbs-sct
LEVEL3ID,56,tbs-sct
LEVEL4ID,56,tbs-sct
LEVEL5ID,56,tbs-sct
QUESTION,56,tbs-sct
Year of funding/support/award,56,tbs-sct
ANSWER1,53,tbs-sct
ANSWER2,53,tbs-sct
ANSWER3,53,tbs-sct
ANSWER4,53,tbs-sct
ANSWER5,53,tbs-sct
ANSWER6,53,tbs-sct
ANSWER7,53,tbs-sct
Budgetary,53,tbs-sct
TITLE_E,53,tbs-sct
TITLE_F,53,tbs-sct
Total,53,tbs-sct
SURVEYR,52,tbs-sct
DESCRIP_E,47,tbs-sct
DESCRIP_F,47,tbs-sct
@Color,45,tbs-sct
Measure,45,tbs-sct
Fiscal Year,43,tbs-sct
Vote,43,tbs-sct
DEPT_F,42,tbs-sct
Month,42,tbs-sct
DEPT_E,41,tbs-sct
Incremental,40,tbs-sct
Non-Incremental,40,tbs-sct
Authority Type,39,tbs-sct
title,39,tbs-sct
1. Institution name:,38,tbs-sct
1. Institution name: Other (please specify):,38,tbs-sct
2. Reporting for the week of:,38,tbs-sct
4 a) Unclassified records,37,tbs-sct
4 b) Protected B records,37,tbs-sct
4 c) Secret and Top Secret records,37,tbs-sct
5 a) Unclassified records,37,tbs-sct
5 b) Protected B records,37,tbs-sct
5 c) Secret and Top Secret records,37,tbs-sct
6 a) Response by mail,37,tbs-sct
6 b) Electronic responses,37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): A limited number of ATIP Staff working onsite, but capacity is reduced due to physical distancing",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but ATIP processing software performance is reduced",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but no access to request-processing software",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited access to computers and tablets",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited network access",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning, processing incoming and outgoing mail)",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records because they are delivering critical services",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited network access",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited on-site access",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs working onsite, but have reduced capacity due to physical distancing",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited network access",37,tbs-sct
"7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning)",37,tbs-sct
