signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
a52ae31a61a8,xlsx-sheet,40,2, |  |  |  | Incremental |  |  |  | Non-Incremental,GC InfoBase – COVID-19 Authorities and Expenditures,2020-21 Expenditures by Type#March 2020,tbs-sct
54364248cbb8,xlsx-sheet,27,13,Fiscal Year | Month | Organization | Measure | Budgetary | Authority Type | Previous Total | Adjustment | Commitments | Expenditure | Year To Date | Expected Lapse | Comments,GC InfoBase – COVID-19 Authorities and Expenditures,2021-22 Expenditures by Measure#April 2021,tbs-sct
b500e1cdc41b,csv,19,33,"1. Institution name: | 1. Institution name: Other (please specify): | 2. Reporting for the week of: | 3. Please describe your institution’s capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is unable to receive requests | 3. Please describe your institution’s capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests by mail | 3. Please describe your institution’s capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests by email | 3. Please describe your institution’s capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests through a digital request service (ATIP Online Request Service or IRCC-hosted portal) | 4 a) Unclassified records | 4 b) Protected B records | 4 c) Secret and Top Secret records | 5 a) Unclassified records | 5 b) Protected B records | 5 c) Secret and Top Secret records | 6 a) Response by mail | 6 b) Electronic responses | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited access to computers and tablets | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but no access to request-processing software | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but ATIP processing software performance is reduced | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning, processing incoming and outgoing mail) | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): A limited number of ATIP Staff working onsite, but capacity is reduced due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records because they are delivering critical services | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited on-site access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs working onsite, but have reduced capacity due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning) | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff unable to task OPIs to conduct searches or retrievals because they are delivering critical services | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs have no/limited network access and cannot conduct searches and retrievals | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs have no/limited on-site access and cannot conduct searches and retrievals | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs working onsite, but have limited capacity due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Other (please explain): | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Other (please explain):",Results of the ATIP Request Capacity Questionnaire,"Results of the ATIP Request Capacity Questionnaire - February 28, 2022",tbs-sct
d019cdaafad5,csv,17,35,LEVEL1ID | LEVEL2ID | LEVEL3ID | LEVEL4ID | LEVEL5ID | SURVEYR | BYCOND | DESCRIP_E | DESCRIP_F | DEMCODE | QUESTION | TITLE_E | TITLE_F | ANSWER1 | ANSWER2 | ANSWER3 | ANSWER4 | ANSWER5 | ANSWER6 | ANSWER7 | POSITIVE | NEUTRAL | NEGATIVE | AGREE | SCORE5 | SCORE100 | ANSCOUNT | DEPT_E | DEPT_F | INDICATORID | INDICATORENG | INDICATORFRA | SUBINDICATORID | SUBINDICATORENG | SUBINDICATORFRA,2024 Public Service Employee Survey Results,Subset 1 - 2024 PSES open dataset - with labels,tbs-sct
f10b7bb83c00,csv,17,33,"1. Institution name: | 1. Institution name: Other (please specify): | 2. Reporting for the week of: | 3. Please describe your institutions capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is unable to receive requests | 3. Please describe your institutions capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests by mail | 3. Please describe your institutions capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests by email | 3. Please describe your institutions capacity as a whole to receive access to information and personal information requests (select all that apply): My institution is able to receive requests through a digital request service (ATIP Online Request Service or IRCC-hosted portal) | 4 a) Unclassified records | 4 b) Protected B records | 4 c) Secret and Top Secret records | 5 a) Unclassified records | 5 b) Protected B records | 5 c) Secret and Top Secret records | 6 a) Response by mail | 6 b) Electronic responses | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited access to computers and tablets | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but no access to request-processing software | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have network access but ATIP processing software performance is reduced | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): ATIP Staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning, processing incoming and outgoing mail) | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): A limited number of ATIP Staff working onsite, but capacity is reduced due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records because they are delivering critical services | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs unable to retrieve records due to no/limited on-site access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): OPIs working onsite, but have reduced capacity due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited network access | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff have no/limited on-site access for processing physical files (for example, reviewing paper records, scanning) | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional ATIP staff unable to task OPIs to conduct searches or retrievals because they are delivering critical services | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs have no/limited network access and cannot conduct searches and retrievals | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs have no/limited on-site access and cannot conduct searches and retrievals | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Regional OPIs working onsite, but have limited capacity due to physical distancing | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Other (please explain): | 7. If your institution as a whole is unable to process requests at all or is not operating at full capacity to receive, process and respond to ATI and Personal Information requests, please specify the causes (select all that apply): Other (please explain):",Results of the ATIP Request Capacity Questionnaire,"Results of the ATIP Request Capacity Questionnaire - May 9, 2022",tbs-sct
5ee380a1a425,csv,16,3,Organization | Transfer Payment | Amount,2026-27 Estimates,Listing of transfer payments,tbs-sct
ed080cfef899,csv,16,35,LEVEL1ID | LEVEL2ID | LEVEL3ID | LEVEL4ID | LEVEL5ID | SURVEYR | BYCOND | DESCRIP_E | DESCRIP_F | DEMCODE | QUESTION | TITLE_E | TITLE_F | ANSWER1 | ANSWER2 | ANSWER3 | ANSWER4 | ANSWER5 | ANSWER6 | ANSWER7 | MOST_POSITIVE_OR_LEAST_NEGATIVE | NEUTRAL_OR_MIDDLE_CATEGORY | MOST_NEGATIVE_OR_LEAST_POSITIVE | AGREE | SCORE5 | SCORE100 | ANSCOUNT | DEPT_E | DEPT_F | INDICATORID | INDICATORENG | INDICATORFRA | SUBINDICATORID | SUBINDICATORENG | SUBINDICATORFRA,2020 Public Service Employee Survey,Subset 2 - 2020 Public Service Employee Survey open dataset - with labels,tbs-sct
b95f8c7c0b24,xml-element,15,3,@Vertical | @Horizontal | @WrapText,Population of the Federal Public Service by Department and Age Band,Population of the Federal Public Service by Department and Age Band#Alignment,tbs-sct
bf99c3371a97,xml-element,15,1,Border,Population of the Federal Public Service by Department and Age Band,Population of the Federal Public Service by Department and Age Band#Borders,tbs-sct
fbdd88c75344,xml-element,15,6,@FontName | @Family | @Size | @Color | @Bold | @Italic,Population of the Federal Public Service by Department and Age Band,Population of the Federal Public Service by Department and Age Band#Font,tbs-sct
